#Iteration center.0 center.1 sigma.0 sigma.1 height
358000 -1.1139501 -0.77435551 0.3 0.3 0.3
359000 -1.4800746 -0.73148472 0.3 0.3 0.3
360000 -2.5075077 -0.87648536 0.3 0.3 0.3
361000 -2.1295742 -0.39764336 0.3 0.3 0.3
362000 -1.3288123 -0.60279797 0.3 0.3 0.3
363000 -1.5508672 -0.61957154 0.3 0.3 0.3
364000 -1.8849771 0.39287107 0.3 0.3 0.3
365000 -1.0059348 -0.56396788 0.3 0.3 0.3
366000 -1.0737437 -0.27879444 0.3 0.3 0.3
367000 -0.82399894 -0.70580895 0.3 0.3 0.3
368000 -2.0845507 -0.23809715 0.3 0.3 0.3
369000 -2.6328438 1.0605072 0.3 0.3 0.3
370000 -2.0686283 1.0785731 0.3 0.3 0.3
371000 -2.4742336 0.94252754 0.3 0.3 0.3
372000 -2.9224961 1.4797492 0.3 0.3 0.3
373000 -2.9678538 2.6818763 0.3 0.3 0.3
374000 -2.9577018 2.3482636 0.3 0.3 0.3
375000 -1.5426589 1.6138625 0.3 0.3 0.3
376000 0.5590021 0.97840326 0.3 0.3 0.3
377000 0.62348779 1.3026862 0.3 0.3 0.3
378000 0.67874632 0.95391619 0.3 0.3 0.3
379000 0.75705346 0.78520303 0.3 0.3 0.3
380000 1.0131037 0.7953282 0.3 0.3 0.3
381000 0.82298189 0.687277 0.3 0.3 0.3
382000 0.7617587 0.88654349 0.3 0.3 0.3
383000 0.55804858 1.0997677 0.3 0.3 0.3
384000 0.8564547 1.2629549 0.3 0.3 0.3
385000 1.1707195 1.2556972 0.3 0.3 0.3
386000 0.57862875 0.73255189 0.3 0.3 0.3
387000 0.93771648 0.97811223 0.3 0.3 0.3
388000 0.7053399 1.196434 0.3 0.3 0.3
389000 0.73697902 0.8768323 0.3 0.3 0.3
390000 0.95789424 0.8126408 0.3 0.3 0.3
391000 0.76280692 0.85600504 0.3 0.3 0.3
392000 0.47332154 1.5298094 0.3 0.3 0.3
393000 0.83487731 0.72092793 0.3 0.3 0.3
394000 0.7176612 1.1971319 0.3 0.3 0.3
395000 1.2101423 1.198222 0.3 0.3 0.3
396000 0.987898 1.0416803 0.3 0.3 0.3
397000 0.76188918 0.74234284 0.3 0.3 0.3
398000 0.77552198 0.88956616 0.3 0.3 0.3
399000 1.0406148 1.2308496 0.3 0.3 0.3
400000 0.93146249 1.3507205 0.3 0.3 0.3
401000 0.72185911 1.5147527 0.3 0.3 0.3
402000 0.49987867 1.4084652 0.3 0.3 0.3
403000 1.1094876 0.68648197 0.3 0.3 0.3
404000 0.44764604 0.90669928 0.3 0.3 0.3
405000 0.90840492 0.80847848 0.3 0.3 0.3
406000 1.0695373 1.1913443 0.3 0.3 0.3
407000 1.0613107 0.54839435 0.3 0.3 0.3
408000 0.72459094 1.2571771 0.3 0.3 0.3
409000 0.93929709 1.1311918 0.3 0.3 0.3
410000 0.32032862 1.286927 0.3 0.3 0.3
411000 0.55652608 1.3689003 0.3 0.3 0.3
412000 0.19344989 1.5419892 0.3 0.3 0.3
413000 0.94421152 0.72016885 0.3 0.3 0.3
414000 0.93496903 1.2296656 0.3 0.3 0.3
415000 0.98915792 0.92280448 0.3 0.3 0.3
416000 0.96497507 1.8543962 0.3 0.3 0.3
417000 0.98746019 1.1499104 0.3 0.3 0.3
418000 0.84596473 1.2116056 0.3 0.3 0.3
419000 0.66353929 0.85427521 0.3 0.3 0.3
420000 0.84912917 1.0945675 0.3 0.3 0.3
